[0.085s][info][class,load  ] jdk.internal.reflect.ConstantPool source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.FieldAccessor source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.FieldAccessorImpl source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.UnsafeFieldAccessorImpl source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.UnsafeStaticFieldAccessorImpl source: shared objects file
[0.085s][info][class,load  ] java.lang.annotation.Annotation source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.CallerSensitive source: shared objects file
[0.085s][info][class,load  ] jdk.internal.reflect.NativeConstructorAccessorImpl source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MethodHandle source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.DirectMethodHandle source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.VarHandle source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MemberName source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.ResolvedMethodName source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MethodHandleNatives source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.LambdaForm source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.TypeDescriptor$OfMethod source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MethodType source: shared objects file
[0.085s][info][class,load  ] java.lang.BootstrapMethodError source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.CallSite source: shared objects file
[0.085s][info][class,load  ] jdk.internal.foreign.abi.NativeEntryPoint source: shared objects file
[0.085s][info][class,load  ] jdk.internal.foreign.abi.ABIDescriptor source: shared objects file
[0.085s][info][class,load  ] jdk.internal.foreign.abi.VMStorage source: shared objects file
[0.085s][info][class,load  ] jdk.internal.foreign.abi.UpcallLinker$CallRegs source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MethodHandleNatives$CallSiteContext source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.ConstantCallSite source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.MutableCallSite source: shared objects file
[0.085s][info][class,load  ] java.lang.invoke.VolatileCallSite source: shared objects file
[0.085s][info][class,load  ] java.lang.AssertionStatusDirectives source: shared objects file
[0.085s][info][class,load  ] java.lang.Appendable source: shared objects file
[0.085s][info][class,load  ] java.lang.AbstractStringBuilder source: shared objects file
[0.085s][info][class,load  ] java.lang.StringBuffer source: shared objects file
[0.085s][info][class,load  ] java.lang.StringBuilder source: shared objects file
[0.085s][info][class,load  ] jdk.internal.misc.UnsafeConstants source: shared objects file
[0.085s][info][class,load  ] jdk.internal.misc.Unsafe source: shared objects file
[0.085s][info][class,load  ] jdk.internal.module.Modules source: shared objects file
[0.085s][info][class,load  ] java.lang.AutoCloseable source: shared objects file
[0.085s][info][class,load  ] java.io.Closeable source: shared objects file
[0.085s][info][class,load  ] java.io.InputStream source: shared objects file
[0.085s][info][class,load  ] java.io.ByteArrayInputStream source: shared objects file
[0.085s][info][class,load  ] java.net.URL source: shared objects file
[0.086s][info][class,load  ] java.net.URLClassLoader source: shared objects file
[0.086s][info][class,load  ] java.lang.Enum source: shared objects file
[0.086s][info][class,load  ] java.util.jar.Manifest source: shared objects file
[0.086s][info][class,load  ] jdk.internal.loader.BuiltinClassLoader source: shared objects file
[0.086s][info][class,load  ] jdk.internal.loader.ClassLoaders source: shared objects file
[0.086s][info][class,load  ] jdk.internal.loader.ClassLoaders$AppClassLoader source: shared objects file
[0.086s][info][class,load  ] jdk.internal.loader.ClassLoaders$PlatformClassLoader source: shared objects file
[0.086s][info][class,load  ] java.security.CodeSource source: shared objects file
[0.086s][info][class,load  ] java.util.AbstractMap source: shared objects file
[0.086s][info][class,load  ] java.util.concurrent.ConcurrentMap source: shared objects file
[0.086s][info][class,load  ] java.util.concurrent.ConcurrentHashMap source: shared objects file
[0.086s][info][class,load  ] java.lang.Iterable source: shared objects file
[0.086s][info][class,load  ] java.util.Collection source: shared objects file
[0.086s][info][class,load  ] java.util.AbstractCollection source: shared objects file
[0.086s][info][class,load  ] java.util.SequencedCollection source: shared objects file
[0.086s][info][class,load  ] java.util.List source: shared objects file
[0.086s][info][class,load  ] java.util.AbstractList source: shared objects file
[0.086s][info][class,load  ] java.util.RandomAccess source: shared objects file
